sCode,noPeriode,sDescription
SI-RZ,138,STAT. INT. 7 h - 16 h LUN À VEN EXCEPTÉ LIVRAISON
SI-SD,37,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SE,181,P 15 min Déb. 7 h - 18 h LUN À VEN
SI-SF,182,STAT. INT. 7h à 18 h LUN À SAM
SI-SG,184,STAT. INT. 8 h - 16 h LUN À SAM
SI-SH,47,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SH,100,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SJ,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 00h - 3 h
SI-SK,230,STAT. INT. 7 h à 17 h LUN À SAM
SI-SL,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-SN,80,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SN,179,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SR,203,STAT. INT. 7 h à  17 h LUN À VEN
SI-SS,212,STAT. INT. EXCEPTÉ DÉB. 9 h - 21 h DIM
SI-ST,218,STAT INT EXCEPTÉ LIVRAISON 9 h - 12 h
SI-SV,48,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SV,78,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SX,138,STAT. INT. 8h ou 9 h à 16 h LUN À VEN
SI-SY,232,STAT. INT. 6 h à 12 h LUN À VEN
SI-SZ,41,STAT. INT. 18  h - 7 h
SI-TC,99,STAT. INT. 7h à 15 h LUN À VEN
SI-TD,240,STAT. INT. 8  h 30 - 15 h LUN À VEN
SI-TF,203,ARRÊT INT.  LUN À VEN 8 h - 17 h 15 AOÛT au 31 déc ++++
SI-TG,179,ARRET INT. 6 h - 9 h  LUN À VEN
SI-TI,203,ARRÊT INT.  LUN À VEN 8 h - 17 h 1 JAN au 23 JUIN
SI-TJ,27,STAT. INT. 9  h 30 - 15 h 30 LUN À VEN
SI-TK,248,STAT. INT. 6 h - 19 h LUN À VEN
SI-TM,1516,STAT. INT. 6 h - 18 h LUN À VEN
SI-TN,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-TO,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-TQ,82,STAT. INT. 9 h 30 - 18 h LUN À VEN
SI-TR,255,STAT. INT. 11 h - 14 LUN À VEN
SI-TS,257,STAT. INT. 7 h - 15 h 30 LUN À SAM
SI-TU,237,ARRET INT. 15 h - 19 h LUN À VEN
SI-TX,182,P 15  min Débarcadère 7 h - 18 h LUN À SAM
SI-TY,295,STAT. INT. 8 h - 14 h LUN À VEN
SI-TZ,194,STAT. INT. 8 h 10 h et 14 h - 16 h LUN À VEN
SI-TZ,296,STAT. INT. 8 h 10 h et 14 h - 16 h LUN À VEN
SI-UA,308,STAT. INT. 18 h - 21 h LUN AU DIM
SI-UB,309,P 15  min Débarcadère 7h - 18h 30 LUN À VEN
SI-UC,203,ARRÊT INT. 8h - 17h LUN à VEN sept à juin
SI-UD,203,ARRÊT INT. 8h - 17h LUN à VEN sept à juin
SI-UE,260,STAT. INT. 9 h - 17 h LUN à VEN EXCEPTÉ LIVRAISON
SI-UF,316,STAT. INT. 9 h 30 - 13 h 30 LUN À VEN
SI-UH,180,ARRÊT INT. EXCEPTÉ AUTOBUS 15H30 -19h LUN À VEN
SI-UJ,325,STAT. INT. 10 h - 16 h LUN et MER et VEN
SI-UO,98,STAT. INT.  EXCEPTÉ LIVRAISON 7H - 13H LUN À VEN
SI-UP,37,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UP,186,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UQ,37,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UQ,186,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-US,101,STAT. INT. EXCEPTÉ BUS 7h - 9h 1 mai au 1 oct
SI-UX,296,STAT. INT. EXCEPTÉ DÉB. 15 min 14h - 16h LUN à VEN du 1 sept au 30 juin
SI-UY,1577,STAT. INT. 6 h 30 - 16 h LUN-VEN 
SI-UZ,296,P 15  min Débarcadère 9h30 - 10h30 et 14h - 16h LUN À VEN
SI-UZ,1355,P 15  min Débarcadère 9h30 - 10h30 et 14h - 16h LUN À VEN
SI-WA,304,ARRÊT INTERDIT 14h - 19h LUN à DIM 7 jours (travaux L-H)
SI-WA,1488,ARRÊT INTERDIT 14h - 19h LUN à DIM 7 jours (travaux L-H)
SI-WB,175,P 15 min DÉB. 6h -9 h et 15 h - 18 h LUN À VEN
SI-WB,179,P 15 min DÉB. 6h -9 h et 15 h - 18 h LUN À VEN
SI-WC,1366,STAT. INT. 10 h - 15h  LUN À VEN (Zone livraison)
SI-WD,41,STST.INT. Exepté mobilité réduite 18h-24h L-V et 8h-24h S-D
SI-WD,1565,STST.INT. Exepté mobilité réduite 18h-24h L-V et 8h-24h S-D
SI-WE,1579,STA. INT 9h-15h Mercredi - Livraison
SI-WF,1591,STAT. INT. Excepté livraison 9h à 17h LUN-MERC-VEN
SP-AA,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SP-AA,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SP-AA,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SR-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
SR-AB,1399,ARRET INT. 6 h30 - 9 h 00 LUN À VEN AVEC REMORQUAGE
SR-AW,60,ARRET INT. 6 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
SR-AY,60,ARRET INT. 6 h - 9 h 30 LUN À VEN  AVEC REMORQUAGE
SR-MC,124,ARRET INT. 6h - 10 h ET 14h30 - 19h30 LUN À VEN AVEC REMORQUAGE
SR-MC,1443,ARRET INT. 6h - 10 h ET 14h30 - 19h30 LUN À VEN AVEC REMORQUAGE
SR-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN AVEC REMORQUAGE
SR-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN. AVEC REMORQUAGE
SR-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-RN,80,ARRET INT. 15 h - 18 h 30 LUN À VEN AVEC  REMORQUAGE
SR-RQ,122,ARRET. INT. EXCEPTÉ AUTOBUS 14 h 30 - 19 h  LUN - VEN AVEC REMORQUAGE
SR-SI,186,ARRET INT. 5 h  30 - 9 h 30 et 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
SR-SI,187,ARRET INT. 5 h  30 - 9 h 30 et 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
SR-SK,186,ARRET INT. 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
UT-24,1472,LUN-VEN 24h (test GTR)
UT-AA,259,LUN-VEN 9h - 18h (test GTR)
UT-AB,1471,LUN-VEN 9h - 20h (test GTR)
UT-AC,66,LUN-VEN 12h-15h (Test GTR)
UT-AD,63,LUN-DIM 9H-21H 3H MAX (Test GTR)
XX-01,174,Stationnement GRATUIT (24 décembre au 26 décembre) OUT
XX-02,174,Stationnement GRATUIT (31 décembre) OUT
XX-03,174,Stationnement GRATUIT (1 et 2 janvier) OUT
XX-04,174,Stationnement GRATUIT (LUNDI DE PÂQUES 2024) OUT
XX-05,174,Stationnement GRATUIT (FÊTE PATRIOTES 2023) OUT
XX-06,174,Stationnement GRATUIT (24 JUIN - ST-JEAN-B.) OUT
XX-07,174,Stationnement GRATUIT (1 JUILLET - FÊTE CANADA) OUT
XX-08,174,Stationnement GRATUIT (FÊTE DU TRAVAIL 2023) OUT
XX-09,174,Stationnement GRATUIT (ACTION DE GRÂCE 2023) OUT
XX-12,162,Stationnement GRATUIT LACHINE- 15 février 2025
ZU-01,1496,STAT. INT 21h-22h LUN à SAM (TEST) 
ZU-02,1498,STAT. INT. 5h - 7h LUN à DIM 1 avril au 1 déc.
ZU-03,1499,STAT. INT. 6h - 7h LUN à DIM 1 avril au 1 déc.
ZU-04,1500,STAT. INT. 6h - 7h LUN à VEN 1 avril au 1 déc.
ZU-05,1501,STAT. INT. 6h - 7h LUN et JEU 1 avril au 1 déc.
ZU-06,1571,STAT. INT TESTGTR. 19h-20h du LUN au VEN 1 avril au 1 déc.
ZU-07,1496,STAT. INT TESTGTR. 21h-22h du LUN au VEN 1 avril au 1 déc.
ZU-08,311,STAT. INT. 9 h - 10 h LUN 01 avril au 01 déc
ZU-09,1593,STAT. INT. 11 h 30 - 12 h 30 MAR 01 avril au 01 déc
ZU-10,1596,STAT. INT. 8 h 30 - 9 h 30 VEN 01 avril au 01 déc
ZU-11,1410,STAT. INT. 13 h 30 - 14 h 30 LUN 01 avril au 01 déc
ZU-12,1594,STAT. INT. 11 h - 12 h LUN 01 avril au 01 déc
ZU-13,1595,STAT. INT. 11h 30 - 12 h 30 LUN 01 avril au 01 déc 
ZV-01,1598,STAT. INT. 7 h 30 - 9 h 30 MAR 01 avril au 14 nov
ZV-03,193,STAT. INT. 4 h - 9 h  LUN et JEU 01 nov au 31 déc
ZV-04,193,STAT. INT. 4 h - 9 h LUN et JEU 01 jan au 31 mars
ZV-05,193,STAT. INT. 4 h - 9 h MAR et VEN 01 1er nov au 31 déc
ZV-06,193,STAT. INT. 4 h - 9 h MAR et VEN 01 jan au 31 mars
ZV-20,225,STAT. INT. 10 h - 12 h MAR 01 avril au 14 nov
ZV-37,96,STAT. INT. 7 h - 8 h 30 LUN et MER et VEN 01 avril au 14 nov
ZV-38,1426,STAT. INT. 7 h - 8 h 30 MAR et JEU 01 avril au 14 nov
ZV-39,1507,STAT. INT. 6 h 30 - 7 h 30 LUN 01 avril au 01 décembre
ZV-40,126,STAT. INT. 7 h - 9 h JEU 01 avril au 14 novembre
ZV-41,134,STAT. INT. 7 h - 9 h MER 01 avril au 14 nov
ZV-42,105,STAT. INT. 7 h - 9  h MAR 01 avril au 14 nov
ZV-43,1540,STAT. INT. 8 h - 11 h VEN 01 avril au 14 nov
ZV-44,1541,STAT. INT. 8 h - 11 h JEU 01 avril au 14 nov
ZV-45,161,STAT. INT. 7 h - 9 h LUN 01 avril au 14 nov
ZV-46,163,STAT. INT. 7 h - 9 h VEN 01 avril au 14 nov
ZV-47,1509,STAT. INT. 10h30 - 13h30 VEN 01 avril au 14 nov
ZV-48,1374,STAT. INT. 12 h30 - 15 30h LUN 01 avril au 14 nov
ZV-49,1510,STAT. INT. 12h30 - 15h30 JEU 01 avril au 14 nov
ZV-50,1511,STAT. INT. 12h30 - 15h30 VEN 01 avril au 14 nov
ZV-51,1513,STAT. INT. 10h30 - 13h30 JEU 01 avril au 14 nov
ZV-53,1509,STAT. INT. 10 h 30 - 13 h 30 VEN 01 avril au 14 nov
ZV-54,1513,STAT. INT. 10 h 30 - 13 h 30 JEU 01 avril au 14 nov
ZV-55,1426,STAT. INT. 7 h - 8 h 30 MAR et JEU 01 avril au 14 nov
ZV-56,1533,STAT. INT. 10 h 30 - 13 h 30 MER 01 avril au 14 nov
ZV-57,1539,STAT. INT. 8 h - 11 h MER 01 avril au 14 nov
ZV-58,302,STAT. INT. 7 h - 8 h 30 VEN 01 avril au 14 nov
ZV-59,95,STAT. INT. 7 h - 8 h 30 LUN 01 avril au 14 nov
ZV-60,1535,STAT. INT. 8h30-10h30 JEU 01avril au 01 déc
ZV-61,1537,STAT. INT. 16h30-17h30 LUN et JEU 1 avril--1 déc.
ZV-62,1543,STAT. INT. 22 h - 23 h MAR et VEN 01 avril au 01 déc
ZV-63,103,STAT. INT. 22 h 30 - 23 h 30 LUN à VEN 01 avril au 01 déc
ZV-64,1544,STAT. INT. 8 h - 12 h MER 01 avril au 01 déc
ZV-65,161,STAT. INT. 7 h - 9 h LUN 01 avril au 01 déc
ZV-68,161,STAT. INT. 7 h - 9 h LUN 15 mars au 15 nov
ZV-70,1549,STAT. INT. 18 h - 19 h MER 01 avril au 01 déc
ZV-71,126,STAT. INT. 7 h - 9 h JEU 01 avril au 01 déc
ZV-72,1551,STAT. INT. 8 h - 9 h JEU 01 avril au 01 déc 
ZV-73,1553,STAT. INT. 18 h 30 - 19 h 30 JEU 01 avril au 01 déc
ZV-74,1554,STAT. INT.8 h 30 - 9 h 30 MAR 01 avril au 01 déc
ZV-75,1555,STAT. INT. 8 h - 9 h MER 01 avril au 01 déc
ZV-76,1556,STAT. INT. 6 h 30 - 7 h 30 MER 01 avril au 01 déc
ZV-77,1557,STAT. INT. 18 h - 19 h LUN et MER 01 avril au 01 déc
ZV-79,1559,STAT. INT. 13 h - 15 h VEN 01 avril au 30 novembre
ZV-80,105,STAT. INT. 7 h - 9 h MAR 01 avril au 30 novembre
ZV-81,1527,STAT. INT. 9 h - 11 h LUN 01 avril au 30 novembre
ZV-82,1560,STAT. INT. 13 h - 15 h MER. 01 avril au 30 novembre
ZV-83,1524,STAT. INT. 9 h - 11 h JEU 01 avril au 30 novembre
ZV-84,1561,STAT. INT. 13 h - 15 h JEU 01 avril au 30 novembre
ZV-90,1562,STAT. INT. 22h-23h LUN et JEU 1 avril - 1 déc.
ZV-91,1563,STAT. INT. 10 h 30 - 11 h 30 LUN 01 avril au 01 déc
ZV-93,1578,STAT INT. 7 h 30 - 9 h LUN 01 avril au 01 déc
ZV-94,1584,STAT INT. 8 h - 9 h MARDI 01 avril au 01 déc
ZV-95,1588,STAT INT. 6 h - 7 h LUNDI 01 avril au 01 déc
ZV-96,1585,STAT INT. 6h - 7 h MARDI 01 avril au 01 déc
ZV-97,1586,STAT INT. 6h - 7 h MERCREDI 01 avril au 01 déc
ZV-98,1587,STAT INT. 6h - 7 h JEUDI 01 avril au 01 déc
ZV-99,1592,STAT.INT. 16 h 30 - 17 h 30 MAR 01 avril au 01 déc
ZX-01,334,STAT. INT. 13 h - 16 h LUN 01 avril au 01 déc.
ZX-02,335,STAT. INT. 9 h - 10 h DIM 01 avril au 01 déc.
ZX-03,1352,STAT. INT. 7 h - 8 h LUN et MER et SAM 01 avril au 01 déc
ZX-04,1353,STAT. INT. 7 h - 8 h MAR et JEU et DIM 01 avril au 01 déc
ZX-05,1354,STAT. INT. 7 h - 9 h LUN et MER et SAM 01 avril au 01 déc.
ZX-06,1600,STAT. INT. 8 h - 12 h LUN 01 avril au 01 déc
ZX-07,1357,STAT. INT. 12h30 - 13h30  JEU 01 avril au 01 déc
ZX-08,1358,STAT. INT. 12 h - 13 h LUN 01 avril au 01 déc
ZX-09,1527,STAT. INT. 9 h - 11 h LUN 01 avril au 01 déc
ZX-10,75,STAT. INT.6 h 30 - 7 h 30 LUN À VEN 01avril au 01 déc.
ZX-11,1362,STAT. INT.6 h 30 - 7 h 30 MAR 01avril au 01 déc.
ZX-12,1431,STAT. INT.9 h - 12 h VEN 01 avril au 01 déc
ZX-14,1373,STAT. INT. 13 h - 14 h LUN 01 avril au 01 déc
ZX-15,1374,STAT. INT. 12 h 30 - 15 h 30 LUN 01 avril au 01 déc
ZX-16,1375,STAT. INT. 13 h - 16 h MER 01 avril au 01 déc
ZX-18,1377,STAT. INT. 12h - 13h MAR 01 avril au 01 déc.
ZX-19,1378,STAT. INT. 13h - 14h MER 01 avril au 01 déc.
ZX-20,1379,STAT. INT. 13h - 14h JEU 01 avril au 01 déc.
ZX-21,1380,STAT. INT. 12h - 14h MAR 01 avril au 01 déc.
ZX-22,1382,STAT. INT.6 h 30 - 7 h 30 MAR et JEU 01avril au 01 déc.
ZX-23,1384,STAT. INT. 13h - 14h MAR 01 avril au 01 déc.
ZX-24,1385,STAT. INT. 12h30 - 13h30 LUN 01 avril au 01 déc.
ZX-25,1386,STAT. INT. 12h30-13h30 MAR 01 avril au 01 déc.
ZX-26,1387,STAT. INT. 12h - 13h JEU 01 avril au 01 déc.
ZX-27,1388,STAT. INT. 9h - 10h MER 01 avril au 01 déc.
ZX-28,1390,STAT. INT. 20h - 21h LUN et JEU 01 avril au 01 déc.
ZX-29,1398,STAT. INT. 17h - 19h LUN et JEU 01 avril au 01 déc.
ZX-31,1407,STAT. INT. 17 h - 18 h LUN 01 avril au 01 déc
ZX-35,1411,STAT. INT. 14 h - 15 h LUN 01 avril au 01 déc
ZX-36,1418,STAT. INT. 7 h ou 8 h 30 - 11h30 MER 01 avril au 01 déc.
ZX-37,1419,STAT. INT. 7 h ou 8 h 30 - 11 h 30 JEU 01 avril au 01 déc.
ZX-38,1538,STAT. INT. 8 h 30 - 10h30 MER 01 avril au 01 
ZX-40,87,ARRÊT INT. 7 h - 8 h LUN ET JEU 01 avril au 30 nov
ZX-42,1425,STAT. INT. 13 h 30 - 14 h 30 MAR 01 avril au 01 déc
ZX-43,1428,STAT. INT. 20 h - 21 h MER 01 avril au 01 déc
ZX-44,1429,STAT. INT. 20 h - 21 h LUN 01 avril au 01 déc
ZX-45,1431,STAT. INT. 9 h - 12 h VEN 01 avril au 01 déc
ZX-47,1433,STAT. INT. 14 h - 15 h MAR 01 avril au 01 déc
ZX-48,1438,STAT. INT.6 h 30 - 7 h 30  JEU 01avril au 01 avril
ZX-49,1439,STAT. INT. 11 h 30- 12 h 30 MER 01 avril au 01 déc
ZX-51,1441,STAT. INT. 10 h - 11 h LUN 01 avril au 01 déc
ZX-52,1442,STAT. INT. 7 h ou 7 h 30 - 8 h 30 JEU 01 avril au 01 déc
ZX-53,1584,ARRÊT. INT. 8H-9H MARDI 01 avril au 30 novembre
ZX-54,1551,ARRÊT INT. 8H - 9H JEUDI 01 avril au 30 novembre
ZX-55,1454,ARRÊT INT. 13h - 15h LUNDI 01 avril au 30 novembre
ZX-57,161,ARRÊT INT. 7 h - 9 h LUNDI 01 avril au 30 novembre
ZX-58,163,ARRÊT INT. 7 h - 9 h VENDREDI 01 avril au 30 novembre
ZX-59,134,ARRÊT INT. 7 h - 9 h MER 01 avril au 30 novembre
ZX-60,126,ARRÊT INT. 7 h - 9 h JEUDI 01 avril au 30 novembre
ZX-61,164,ARRÊT INT.  7 h - 8 h MARDI 01 avril au 30 novembre
ZX-63,1463,STAT. INT. 4h - 9h LUN et JEU 15 novembre au 31 décembre + ZX-74
ZX-64,1464,STAT. INT. 9 h 30 - 11 h 30 JEU 01 avril au 01 déc
ZX-65,1465,STAT. INT. 13 h -15 h MAR 01 avril au 01 déc
ZX-66,1466,STAT. INT. 9 h - 11 h MER 01 avril au 01 déc
ZX-67,1467,STAT. INT. 12 h 30 - 14 h 30 MAR 01 avril au 01 déc.
ZX-68,1341,STAT. INT. 10 h - 12 h LUN 01 avril au 01 déc.
ZX-69,1468,STAT. INT. 12 h - 14 h JEU 01 avril au 01 déc
ZX-70,1469,STAT. INT. 13 h - 14 h DIM 01 avril au 01 déc
ZX-71,173,STAT. INT. 7 h - 8 h MAR et JEU 01 avril au 01 déc
ZX-72,1337,STAT. INT. 7 h ou 8 h - 11 h LUN 01 avril au 01 déc
ZX-73,1470,STAT. INT. 13 h - 16 h MAR 01 avril au 01 déc
ZX-74,1463,STAT. INT. 4h - 9h LUN et JEU 1 janvier au 31 mars ***
ZX-75,1504,STAT. INT. 12 h 30 - 15 h 30 MAR 01 avril au 01 déc
ZX-76,1505,STAT. INT. 7 h ou 8 h 30 - 11 h 30 VEN 01 avril au 01 déc
ZX-77,1506,STAT. INT. 12 h 30 - 15 h 30 MER 01 avril au 01 déc
ZX-78,216,STAT. INT. 10 h- 11 h LUN et JEU 01 avril au 01 déc
ZX-79,1466,STAT. INT. 9 h - 11 h MER 01 avril au 30 novembre
ZX-80,1517,STAT. INT. 22 h 30 - 23 h 30 LUN et JEU 01 avril au 01 déc
ZX-81,1522,STAT. INT. 7h30-9h30 JEU 01 avril au 01 déc
ZX-82,1523,STAT. INT. 8h30 - 10h30 MAR 01 avril au 01 déc
ZX-83,1526,STAT. INT. 9h - 11h MAR 01 avril au 01 déc
ZX-84,1519,STAT. INT. 13h30 - 15h30 MAR 01 avril au 01 déc
ZX-85,1521,STAT. INT. 9h30 - 11h30 MAR 01 avril au 01 déc
ZX-87,1518,STAT. INT. 9h30 - 11h30 LUN 01 avril au 01 déc
ZX-89,1524,STAT. INT. 9h - 11h JEU 01 avril au 01 déc
ZX-90,1468,STAT. INT. 12h - 14h JEU 01 avril au 01 déc
ZX-91,1464,STAT. INT. 9h30 - 11h30 JEU 01 avril au 01 déc
ZX-92,1525,STAT. INT. 13h30 - 15h30 LUN 01 avril au 01 déc
ZX-93,1528,STAT. INT. 17h-18h MERC 1 avril au 1 décembre
ZX-94,1531,STAT. INT. 18h-19h MAR 01avril au 01 déc
ZX-95,1529,STAT. INT. 11h-12h VEN 01avril au 01 déc
ZX-96,1530,STAT. INT. 15h30-16h30 VEN 01avril au 01 déc
ZX-97,1532,STAT. INT. 18h30-19h30 MAR 01avril au 01 déc
ZX-98,1536,STAT. INT. 13h30-15h30 MER 01avril au 01 déc
ZX-99,1534,STAT. INT. 8h30-10h30 LUN 01avril au 01 déc
ZY-01,1601,STAT. INT. 7 h 30 - 8 h 30 MER 01 avril au 01 déc
ZY-03,190,STAT. INT.7 h 30 ou 8 h 30 - 9 h 30 MAR ET VEN 01 avril au 01 déc
ZY-06,176,ARRET INT. 15 h  30 - 24 h LUN  À VEN 11 h 30 - 24 h SAM et DIM (16 au 26 juillet - JUSTE POUR RIRE 2009)
ZY-06,177,ARRET INT. 15 h  30 - 24 h LUN  À VEN 11 h 30 - 24 h SAM et DIM (16 au 26 juillet - JUSTE POUR RIRE 2009)
ZY-06,206,ARRET INT. 15 h  30 - 24 h LUN  À VEN 11 h 30 - 24 h SAM et DIM (16 au 26 juillet - JUSTE POUR RIRE 2009)
ZY-09,213,STAT. INT. 19 h - 20 h LUN et MER 01 avril au 01 déc
ZY-10,214,STAT. INT. 19 h - 20 h MAR et JEU 01 avril au 01 déc
ZY-11,198,STAT. INT. 12 h - 13 h VEN  01 avril au 01 déc
ZY-14,89,STAT. INT.7 h ou 7 h 30 - 8 h 30 MAR ET VEN 01 avril au 01 déc
ZY-16,79,STAT. INT.7 h 30 - 8 h 30 7 jours sur 7 01 AVRIL au 01 déc
ZY-17,215,STAT. INT. 9 h 30 - 10 h 30 JEU 01 avril au 01 déc
ZY-18,220,STAT. INT. 9 h 30 - 10 h 30 MAR 01 avril au 01 déc
ZY-22,77,STAT. INT.6 h 30 ou 7 h ou 7 h 30 - 8 h 30 LUN À VEN 01 avril au 01 déc.
ZY-23,135,STAT. INT.6 h 30 - 7 h 30 SAM et DIM 01 avril au 01 déc
ZY-24,1602,STAT. INT.7 h 30 - 8 h 30 SAM et DIM 01 avril au 01 déc 
ZY-25,137,STAT. INT. 6 h 30 ou 7 h 30 - 8 h 30 MAR 01 avril au 01 déc
ZY-28,93,STAT. INT. 6 h 30 - 7 h 30 LUN et JEU 01 avril au 01 décembre
ZY-29,94,STAT. INT. 6 h 30 - 7 h 30 MAR et VEN 01 avril au 01 décembre
ZY-30,1590,STAT. INT. 7 h 30 - 8 h 30 LUN 01 avril au 01 décembre
ZY-32,100,STAT. INT. 7 h ou 7 h 30 - 9 h LUN À VEN 01 avril au 01 décembre
ZY-33,91,STAT. INT. 7 h - 9 h LUN et JEU 01 avril au 01 déc
ZY-34,92,STAT. INT. 7 h - 9 h MAR et VEN 01 avril au 01 déc
ZY-35,216,STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 décembre
ZY-39,1545,ARRÊT INT. 8 h - 9 h LUN ET MER 01 avril au 30 nov
ZY-39,1555,ARRÊT INT. 8 h - 9 h LUN ET MER 01 avril au 30 nov
ZY-42,1603,ARRÊT INT. 8 h - 10 h MER 01 avril au 30 nov
ZY-44,173,ARRÊT INT. 7 h - 8 h MAR ET JEU 01 avril au 30 nov
ZY-45,132,STATIONNEMENT  INT. 7 h - 8 h LUN ET MER 01 avril au 1 déc
ZY-45,160,STATIONNEMENT  INT. 7 h - 8 h LUN ET MER 01 avril au 1 déc
ZY-48,226,STAT. INT. 8h ou 9 h - 10 h MER 01 avril au 01 déc
ZY-49,1604,STAT. INT. 7 h 30 - 8 h 30 LUN et MER et VEN 01 avril au 01 déc
ZY-50,229,STAT. INT. 9 h 30 - 10 h 30 MAR et VEN 01 avril au 01 déc
ZY-51,228,STAT. INT. 9 h 30 - 10 h 30 LUN ET JEU 01 avril au 01 déc
ZY-52,160,STAT. INT. 7 h - 8 h MER 01 avril au 01 déc
ZY-53,231,STAT. INT. 9 h 30 - 10 h 30 MER 01 avril au 01 déc
ZY-54,1605,STAT. INT. 8 h - 9 h MER et VEN 01 avril au 01 déc
ZY-55,238,STAT. INT. 10 h - 11 h MER 01 avril au 01 déc
ZY-56,239,STAT. INT. 10 h - 11 h VEN 01 avril au 01 déc
ZY-58,242,STAT. INT.7 h 30 ou 8 h 30 - 9 h 30 LUN 01 avril au 01 déc
ZY-59,243,STAT. INT.7 h - 9 h 30 MER 01 avril au 01 déc
ZY-60,245,STAT. INT. 10 h - 11 h MAR et VEN 01 avril au 01 déc
ZY-62,247,STAT. INT.12 h 30 - 13 h 30 VEN 01 avril au 01 déc
ZY-64,262,STAT. INT. 10h30 - 11h30 MER 01avril au 01 déc
ZY-65,263,STAT. INT. 10h30 - 11h30 VEN 01avril au 01 déc
ZY-66,231,STAT. INT. 9h30 - 10h30 MER 01avril au 01 déc
ZY-67,264,STAT. INT. 9h30 - 10h30 VEN 01avril au 01 déc
ZY-68,1607,STAT. INT. 9h - 10h VEN 01avril au 01 déc
ZY-69,266,STAT. INT. 13h - 14h VEN 01avril au 01 déc
ZY-70,267,STAT. INT. 12h30 - 13h30  MER 01 avril au 01 déc
ZY-71,268,STAT. INT. 13h30 - 14h30  VEN 01 avril au 01 déc
ZY-72,269,STAT. INT. 14h - 15h VEN 01 avril au 01 déc
ZY-73,270,STAT. INT. 10h - 11h JEU 01 avril au 01 déc
ZY-75,275,STAT. INT. 10h30 - 11h30 MAR 01avril au 01 déc
ZY-76,134,STAT. INT. 7 h ou 7 h 30 - 9 h MER 01 avril au 01 déc
ZY-77,278,STAT. INT. 10h30 - 11h30 JEU 01avril au 01 déc
ZY-78,279,STAT. INT. 8h ou 9h - 10h JEU 01 avril au 01 déc
ZY-81,282,STAT. INT. 18h30 - 19h30 LUN 01 avril au 01 déc
ZY-82,281,STAT. INT. 19h - 20h MAR 01 avril au 01 déc
ZY-83,289,STAT. INT. 17h - 18h30  LUN ET JEU 01 avril au 01 déc
ZY-84,291,STAT. INT. 7 h - 9 h 30 MAR 01avril au 01 déc
ZY-85,292,STAT. INT. 7 h - 9 h 30 JEU 01avril au 01 déc
ZY-86,293,STAt. INT. 14 h - 15 h MER 01 avril au 01 déc
ZY-87,1608,STAt. INT. 8 h - 12 h JEU 01 avril au 01 déc
ZY-88,301,STAT. INT. 10h - 11h MAR 01 avril au 01 déc
